"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"brandy";0;0;0;0;0;0;0;1;0
"brandybuck";0;0;0;0;0;0;0;2;0
"brandywiny";0;0;0;0;0;0;1;0;0
"brat";0;0;2;0;0;0;0;0;0
"brata";0;0;2;0;1;0;0;0;0
"bratanek";0;0;0;0;0;0;0;1;0
"bratem";0;0;1;1;3;0;0;0;0
"bree";0;0;0;0;0;0;0;5;0
"brema";0;0;0;0;0;1;0;0;0
"broda";1;0;0;0;0;0;0;0;0
"brodem";0;0;0;0;0;0;1;0;0
"broniąc";0;0;0;0;0;1;0;0;1
"bronić";0;0;0;4;1;1;1;0;2
"bronisław";0;0;0;1;0;0;0;0;0
"bronisławem";0;0;0;2;0;0;0;0;0
"broń";1;1;0;0;0;0;4;0;0
"broszura";0;0;0;1;0;0;0;0;0
"browar";0;0;0;0;0;0;1;0;0
"brożek";0;0;0;0;1;0;0;0;0
"brudny";0;0;0;0;0;0;1;0;0
"brudy";0;0;0;0;0;0;1;0;0
"brudzewa";0;0;0;0;1;0;0;0;0
"brutalny";0;0;0;1;0;0;0;0;0
"bruzda";0;0;0;0;0;0;0;0;4
"brytyjski";0;0;0;0;0;1;0;0;0
"brzeg";1;0;0;1;0;0;1;0;2
"brzmieć";1;0;1;0;1;0;0;0;1
"bsc";0;0;0;0;0;1;0;0;0
"buchać";0;0;0;0;0;0;1;0;0
"buchnąć";0;0;0;0;0;0;0;0;3
"buckland";0;0;0;0;0;0;0;1;0
"bucklandu";0;0;0;0;0;0;0;1;0
"buda";0;0;0;0;0;0;2;0;0
"budowa";0;0;0;0;0;0;0;0;1
"budować";0;0;1;0;0;0;3;0;0
"budowla";0;0;0;0;0;0;0;0;1
"budując";0;0;1;0;0;0;0;0;0
"budynek";0;0;0;0;1;0;1;0;0
"budzić";0;0;0;0;0;0;1;0;0
"bujniejszy";0;0;0;0;0;0;0;1;0
"bujny";1;0;0;0;0;0;0;1;1
"bulgotać";0;0;0;0;0;0;0;0;1
"bundeslidze";0;0;0;0;0;7;0;0;0
"bundesligi";0;0;0;0;0;14;0;0;0
"bunt";0;0;0;2;0;0;0;0;0
"burgos";0;0;0;0;1;0;0;0;0
"buriatem";0;0;0;1;0;0;0;0;0
"burmistrz";0;0;0;0;0;0;2;3;0
"burza";0;1;0;0;0;0;0;0;1
"burzyć";0;0;0;0;0;0;2;0;2
"but";0;0;0;0;0;1;0;0;0
"butterburów";0;0;0;0;0;0;0;1;0
"być";1;0;0;0;0;0;0;1;1
"bydło";0;0;0;0;0;0;0;1;0
"byle";1;0;0;0;0;0;0;2;0
"bylica";0;0;0;0;1;0;0;0;0
"bylikili";0;1;0;0;0;0;0;0;0
"byly";1;0;0;0;0;0;0;0;0
"byłoby";0;0;0;0;0;0;1;0;0
"były";0;0;0;1;0;0;0;0;0
"bystry";1;0;0;0;0;0;0;0;0
"byt";0;0;1;0;0;0;0;0;0
"bytowy";0;0;0;1;0;0;0;0;0
"bywać";0;0;0;0;2;0;1;2;1
"caiado";0;0;0;0;1;0;0;0;0
"całkowity";0;0;1;0;0;0;0;0;0
"cały";7;2;3;1;1;3;10;8;7
"camp";0;0;0;0;0;1;0;0;0
"canonicus";0;0;0;0;2;0;0;0;0
"capituli";0;0;0;0;1;0;0;0;0
"car";0;0;0;4;0;0;0;0;0
"carat";0;0;0;1;0;0;0;0;0
"carski";0;0;0;5;0;0;0;0;0
"cecha";0;0;0;0;0;0;0;1;0
"cegielnia";0;0;0;1;0;0;0;0;0
"cel";0;2;3;3;0;0;1;0;1
"cela";0;0;1;1;0;0;0;0;0
"celibat";0;0;1;0;0;0;0;0;0
"celniej";0;0;0;0;0;0;0;0;1
