"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"biedny";1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"biedota";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bieg";0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1
"biegać";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bieganina";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"biegiem";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"biegł";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
"biegła";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"biegły";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"biegnąc";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
